C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
1005,0,85f751fd,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,8a4875bd,1,0,4687,320,50,1722,0,35,-1,23
1002,1,1fbe01fe,f3845767,f028772b,92f5800b,2347f47a,0f2161f8,1f0bc64f,0,2,21611,300,250,2424,3,39,100084,79
1010,7,e151e245,7e091613,28905ebd,e2fcccd2,ae637522,cef3e649,d787e91b,4,3,21189,216,36,2227,2,167,100111,221
1012,2,d9750ee7,7687a86e,3e814130,febd1138,5c5a694b,8ded1f7a,76dc4769,5,5,21191,728,480,1800,1,161,100148,71
1007,4,5b08c53b,98572c79,f66779e6,7358e05e,82e27996,f95efa07,be6db1d7,2,,19772,120,90,423,,47,100077,48
1001,5,856e6d3f,16a36ef3,75fa27f6,a5184c22,d9b5648e,d1327cf5,a0f5f879,,,19771,1024,20,2502,,1327,100075,157
1008,3,5b4d2eda,58a89a43,335d28a8,9c13b419,b9528b13,09481d60,4ea23a13,,,16208,480,768,2480,,297,100081,61
,,a7853007,9d54950b,76b2941d,54c5d545,b8d325c3,dc97ec06,7abbbd5c,,,20108,768,320,2506,,163,100156,32
,,b7e9786d,b12b9f85,c0dd3be3,03528b27,0e8616ad,75d80bbe,ecb851b2,,,19950,,1024,2528,,679,100083,33
,,5bcf81a2,17d996e6,72722551,e9739828,df32afa9,fc6fa53d,d4897fef,,,15705,,,2374,,175,100193,52
,,5ee41ff2,968765cd,dedf689d,f0d41ff1,aefc06bd,4ce2e9fc,5096d134,,,15701,,,1872,,935,100074,42
,,6399eda6,28f93029,0569f928,e2a1ca37,33da2e74,879c24eb,e1eae715,,,15704,,,2545,,687,100079,15
,,6256f5b4,d262cf1e,70fb0e29,03a08c3f,6f7ca2ba,a3c42688,711ee120,,,15699,,,1863,,41,100176,51
,,17caea14,0dde25ec,a818d37a,51cedd4e,5b9c592b,4681bb9d,1ccc7835,,,15707,,,2299,,1063,100189,212
,,57ef2c87,bd6d812f,8fd0aea4,66f5e02e,885c7f3f,0f9a328c,981edffc,,,15708,,,2526,,1319,100076,43
,,83a0ad1a,5c9ae867,42a36e14,98fed791,5c620f04,2281a340,c6263d8a,,,15703,,,1994,,303,100192,117
,,0a742914,510bd839,e787de0e,73206397,45a51db4,a86a3e89,84ebbcd4,,,15702,,,2333,,33,100190,13
,,57fe1b20,5b626596,bcf865d9,685d1c4c,b5f3b24a,8df2e842,0bcabeaf,,,15706,,,2665,,171,100191,156
,,e8f79e60,c4342784,5378d028,e96773f0,813f3323,79f0b860,3bb1ddd7,,,16615,,,1993,,419,100188,68
,,e4d8dd7b,6b59f079,9ccfa2ea,d36838b1,0654b444,0bfbc358,f07e20f8,,,8330,,,2507,,431,100031,16
,,d6137915,a17bde68,da34532e,f53417e1,ad63ec9b,a7fd01ec,be74e6fe,,,21767,,,1873,,169,100013,159
,,12fb4121,bb1ef334,6432c423,ce183bbd,c6824def,7113d72a,3bd9e8e7,,,21768,,,761,,34,100155,95
,,6c5b482c,7256c623,74073276,be7c618d,a8b0bf20,18b1e0be,36b67a2a,,,19251,,,2566,,427,100181,46
,,9a977531,a434fa42,110ab22d,f888bf4c,15ec7f39,5326cf99,0eb711ec,,,17239,,,2201,,547,100194,69
,,5114c672,3f2f3819,c706e647,1dc72b4d,99b4c806,2fc4f2aa,779d90c2,,,21790,,,2513,,291,100000,91
,,e5c60a05,d733bbc3,,39947756,828da833,0d82db25,fce66524,,,6563,,,1973,,815,100003,111
,,93eaba74,6b560cc1,,3f2a6cbb,43cf4f06,4b7ade46,aad45b01,,,17653,,,2676,,38,100182,70
,,bb4524e7,27e3c518,,de97da65,f2f777fb,bf8ac856,5db079b5,,,17654,,,2036,,43,100105,90
,,e3c09f3a,e2a5dc06,,53de0284,448ca2e3,6fea3693,158e4944,,,16920,,,2340,,1451,100119,110
,,ce3307ec,9f448720,,396df801,4.75E+99,71af18ce,a5bce124,,,20633,,,2495,,1059,100173,204
,,4bf5bbe2,d2f72222,,cf0327f9,db829551,ef03ae90,ef726eae,,,23143,,,572,,937,100233,171
,,6ec06dbd,6e882918,,4e02fbd3,2b627705,,36d749e5,,,23144,,,1899,,811,100160,17
,,9e8e8d09,449497bc,,8b89048f,d6feb1a4,,99e427c9,,,17614,,,178,,1065,100200,112
,,0eb72673,8025317b,,ffc6ffd0,6a0a3a9d,,496515fa,,,17753,,,2060,,809,100199,101
,,92c7cbe7,0d3cb7be,,d44c074c,e5d5313f,,2ea4f8ba,,,20634,,,2162,,1711,100020,82
,,16c73019,ce307e01,,3c4b944d,18eb4e75,,be87996b,,,21769,,,112,,675,100034,100
,,9e8cf15d,98acf46c,,a4869716,27ee373d,,2203a096,,,20251,,,122,,559,100057,178
,,38217daf,ace5b8fd,,3bfa19cb,9ec164d3,,43e7b962,,,17264,,,2647,,299,100004,182
,,88154ade,1e0acfb4,,45aff1a2,b12ff13e,,5ec45883,,,21770,,,2283,,813,100162,35
,,89a490f5,9eaf88fa,,d644e4e7,b408d42a,,24f6b932,,,17262,,,2331,,551,100202,108
,,ba9aee1b,c1aa3c04,,fb7c70a3,0d79ee56,,684581ce,,,20093,,,2281,,290,100050,253
,,e023ba3e,75f9ddc3,,4b08f369,3feeed1e,,2692a96a,,,23438,,,2323,,681,100221,251
,,26fa1946,9690165f,,3e2bf98d,5ac0b939,,cd5b1559,,,17014,,,1887,,1315,100228,116
,,7dd19f44,de0f0f82,,1779deee,7eec2ab0,,6e1e2240,,,22680,,,479,,295,100005,194
,,43d6df75,422b8953,,04f2be5f,dcdba109,,6332421a,,,20632,,,2295,,801,100094,20
,,c1fcc9a1,b4598159,,a97b17d0,b51aefa8,,88fe1d5d,,,22683,,,2684,,423,100151,93
,,2b1ddb24,cc962a1f,,0acbeaa3,f435cae0,,c144e605,,,22681,,,2420,,673,100177,94
,,b99a2c43,863fa89d,,8c0dcd5a,63f57be0,,04f5b394,,,21789,,,2039,,1835,100101,126
,,178a7b89,08facbad,,c8e3e3c1,ef1fc174,,9e3836ff,,,22682,,,2229,,943,100021,102
,,2a68aa20,9b851bd8,,28d3bd59,f3ad7798,,cad4c01d,,,22676,,,2253,,1071,100130,163
